Contract Name,Bytecode Length,Estimated Gas Units,Gas Price (Gwei),Priority Fee (Gwei),ETH Price (USD),Deployment Cost (ETH),Deployment Cost (USD),Standard Method,Bytesize Method,Status,Error Message
AddressUpgradeable.sol,332,72293,15.291388959,1.0,2678.75414304287,0.001177753382012987,3.15,True,False,Success,
auth.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,False,False,Success,
ContextUpgradeable.sol,0,53000,15.291388959,1.0,2678.75414304287,0.000863443614827,2.31,True,False,Success,
CountersUpgradeable.sol,332,72293,15.291388959,1.0,2678.75414304287,0.001177753382012987,3.15,True,False,Success,
DaoAuthorizableUpgradeable.sol,0,53000,14.975978847,1.0,2678.74476450681,0.000846726878891,2.27,True,False,Success,
draft-IERC20PermitUpgradeable.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,False,False,Success,
ECDSAUpgradeable.sol,332,72293,14.975978847,1.0,2679.32929426702,0.001154951438786171,3.09,True,False,Success,
EIP712Upgradeable.sol,0,53000,14.975978847,1.0,2679.30459738652,0.000846726878891,2.27,True,False,Success,
ERC20PermitUpgradeable.sol,0,53000,14.975978847,1.0,2679.30459738652,0.000846726878891,2.27,True,False,Success,
ERC20Upgradeable.sol,9382,1054482,14.975978847,1.0,2679.30459738652,0.016846382126542254,45.14,True,False,Success,
ERC20VotesUpgradeable.sol,0,53000,14.596508264,1.0,2679.32929426702,0.000826614937992,2.21,True,False,Success,
ERC165Upgradeable.sol,0,53000,14.596508264,1.0,2679.30459738652,0.000826614937992,2.21,True,False,Success,
GovernanceERC20.sol,59416,5962600,14.672865754,undefined,2679.32929426702,0.0874884293448004,234.41,False,True,Success,
IDAO.sol,0,53000,14.596508264,1.0,2679.32929426702,0.000826614937992,2.21,True,False,Success,
IERC20MetadataUpgradeable.sol,0,53000,14.596508264,1.0,2679.30459738652,0.000826614937992,2.21,True,False,Success,
IERC20MintableUpgradeable.sol,0,53000,14.674721171,1.0,2679.32929426702,0.000830760222063,2.23,True,False,Success,
IERC20PermitUpgradeable.sol,0,53000,14.674721171,1.0,2679.30459738652,0.000830760222063,2.23,True,False,Success,
IERC20Upgradeable.sol,0,53000,14.674721171,1.0,2679.30459738652,0.000830760222063,2.23,True,False,Success,
IERC165Upgradeable.sol,0,53000,14.674721171,1.0,2679.30459738652,0.000830760222063,2.23,True,False,Success,
IERC5267Upgradeable.sol,0,53000,14.674721171,1.0,2679.32929426702,0.000830760222063,2.23,True,False,Success,
IERC5805Upgradeable.sol,0,53000,14.674721171,1.0,2679.32929426702,0.000830760222063,2.23,True,False,Success,
IERC6372Upgradeable.sol,0,53000,14.674721171,1.0,2679.32929426702,0.000830760222063,2.23,True,False,Success,
Initializable.sol,0,53000,15.120355502,1.0,2679.30459738652,0.000854378841606,2.29,True,False,Success,
IVotesUpgradeable.sol,0,53000,15.120355502,1.0,2679.32929426702,0.000854378841606,2.29,True,False,Success,
MathUpgradeable.sol,332,72293,15.120355502,1.0,2679.32929426702,0.001165388860306086,3.12,True,False,Success,
SafeCastUpgradeable.sol,332,72293,15.120355502,1.0,2679.30459738652,0.001165388860306086,3.12,True,False,Success,
SignedMathUpgradeable.sol,332,72281,15.120355502,1.0,2679.32929426702,0.001165195416040062,3.12,True,False,Success,
StringsUpgradeable.sol,332,72293,15.120355502,1.0,2679.30459738652,0.001165388860306086,3.12,True,False,Success,
