Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
AddressUpgradeable.sol,332,3271.842504265283,5.707488431087242,54200.0,0.0,0.00552585107558706,0.00011818511454062915,18.080000000000002,0.3931411960097799
ArraysUpgradeable.sol,332,3275.9899820381484,1.462863859467811,54200.0,0.0,0.005379353918253501,0.00028636078367616264,17.622,0.937377191956365
Context.sol,0,3282.8746925535647,6.2401775894556355,21000.0,0.0,0.0018646857118512002,5.344767271796992e-05,6.119999999999999,0.17927632303235133
ContextUpgradeable.sol,0,3288.2151204983334,0.6008776301850688,21000.0,0.0,0.0020058462752286,1.9874172652449015e-05,6.598000000000001,0.06794115100585219
CountersUpgradeable.sol,332,3282.088495657521,3.4500218787080286,54200.0,0.0,0.004986978779648461,0.00014851305229011315,16.369,0.5017260208520188
DelegationEIP712Upgradeable.sol,0,3276.0992555087355,4.167826385176875,21000.0,0.0,0.0019809436085312998,2.252239088136776e-05,6.489,0.07515982969645418
draft-ERC20PermitUpgradeable.sol,0,3270.7623534147197,1.510637606030059,21000.0,0.0,0.0020331779700645,3.973172621430886e-05,6.651000000000001,0.13011149065320857
draft-IERC20PermitUpgradeable.sol,0,3268.835227386099,2.482653787562449,21000.0,0.0,0.0020014262855916,3.1680904798941955e-05,6.544,0.10678951259369993
draft-IERC1822Upgradeable.sol,0,3267.9464193644812,2.757835088665824,21000.0,0.0,0.0019028651877648,8.370456604068722e-05,6.215000000000001,0.27376084453405686
ECDSAUpgradeable.sol,332,3275.655768468884,0.9819040863405417,54200.0,0.0,0.00503354551982464,5.2496530691599084e-05,16.488,0.168748333325103
EIP712Upgradeable.sol,0,3277.5181947870924,2.139665652046712,21000.0,0.0,0.0018450057938424,5.7091582636300764e-05,6.049,0.18555053220079962
ERC20.sol,12248,3289.6224926537116,3.0107807712279273,1245800.0,0.0,0.11512384046234059,0.0030557762521510514,378.712,9.977434339548427
ERC20SnapshotUpgradeable.sol,0,3293.2792703221276,1.6500896657215929,21000.0,0.0,0.0018984154999719,4.730013460040539e-05,6.2509999999999994,0.15604166110369347
ERC20Upgradeable.sol,9382,3296.212953296627,3.5589768850078354,959200.0,0.0,0.0860148396952944,0.0002343184271471968,283.523,0.8780552374423803
ERC1967UpgradeUpgradeable.sol,0,3300.478227961607,0.20153162304904984,21000.0,0.0,0.0017490013012857,4.029583289406325e-05,5.772,0.13249905660041486
IBaal.sol,0,3297.7061589192463,2.468665969943849,21000.0,0.0,0.0017369246949431997,5.234986631037884e-05,5.726999999999999,0.17742885898297375
IBeaconUpgradeable.sol,0,3296.6269112819596,1.6343165438197786,21000.0,0.0,0.0017813579072666996,2.9033145260811627e-05,5.874,0.09572878355019429
IERC20.sol,0,3292.959197963812,3.558528517367942,21000.0,0.0,0.0017817910346628004,1.4974792874982906e-05,5.869999999999999,0.05079370039680128
IERC20Metadata.sol,0,3290.43519908649,3.341223673312148,21000.0,0.0,0.0017218840469544,2.38229301896696e-05,5.665,0.07433034373659257
IERC20MetadataUpgradeable.sol,0,3287.0678590796765,0.8678320833615449,21000.0,0.0,0.0018395010690104997,1.1443312472287591e-05,6.045,0.03853569773599536
IERC20Upgradeable.sol,0,3287.3560386751333,1.397550293045248,21000.0,0.0,0.0017038881505442999,7.778426549332777e-05,5.599000000000001,0.25528219679405767
Initializable.sol,0,3288.8631894548607,0.25005778651027655,21000.0,0.0,0.0017751004821921,2.6534265456084838e-05,5.839,0.08711486669908887
MathUpgradeable.sol,332,3296.478384869823,4.544959690536508,54200.0,0.0,0.004683996539457799,8.798892930780901e-05,15.440999999999999,0.3036593486128825
OwnableUpgradeable.sol,0,3300.5383497374983,2.882376592117071,21000.0,0.0,0.0018196028679108,2.1208142080050905e-05,6.007,0.06986415389883416
PausableUpgradeable.sol,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
StorageSlotUpgradeable.sol,332,3290.599102546827,2.158580714200988,54200.0,0.0,0.004701005725196219,0.00013358963938834258,15.467000000000002,0.43630379324502777
StringsUpgradeable.sol,332,3285.253487555572,4.643787976125424,54200.0,0.0,0.00489259595072196,8.418171664956505e-05,16.073,0.26529417634015323
UUPSUpgradeable.sol,0,3282.7014250347725,4.218079825178537,21000.0,0.0,0.0019909674822051,4.169041083704031e-05,6.535000000000001,0.1295569372901351
