Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
Address.sol,166.0,3117.427,0.36535051662752993,54200.0,0.0,0.0005559251199994399,9.703986479653825e-06,1.7309999999999999,0.0320780298646909
BytesUtils.sol,166.0,3116.9610000000002,0.41750329340027015,54200.0,0.0,0.0005509492007564201,9.70785796701831e-06,1.718,0.027495454169735062
Context.sol,0.0,3117.3469999999993,0.6647112154914768,21000.0,0.0,0.00021410885909909998,4.0990722090619805e-06,0.667,0.013453624047073722
Controllable.sol,1909.0,3118.1189999999997,0.15300000000006547,402800.0,0.0,0.004225054649186401,0.0002443460184544069,13.176000000000002,0.761671845350739
ENS.sol,0.0,3117.928,0.3070114004397842,21000.0,0.0,0.0002402437030959,2.615967777960329e-06,0.749,0.008306623862918083
ERC20Recoverable.sol,1913.0,3117.485,0.7664496069540244,403600.0,0.0,0.00434125241015024,0.00016769971074668055,13.533000000000001,0.525833623877363
ERC165.sol,0.0,3116.0029999999997,0.7249144777145103,21000.0,0.0,0.0002274396929385,8.972251019204671e-06,0.708,0.025219040425836965
ERC1155Fuse.sol,0.0,3115.4139999999998,0.2431131423844144,21000.0,0.0,0.00023178785488740003,1.632644945406317e-06,0.7230000000000001,0.004582575694955844
IBaseRegistrar.sol,0.0,3115.069,0.2787274654569185,21000.0,0.0,0.00023395552780319998,1.0090417924100842e-05,0.727,0.029342801502242447
IERC20.sol,0.0,3115.4939999999997,0.6565089489108595,21000.0,0.0,0.00024055567287780002,6.793813836639957e-06,0.7470000000000001,0.01951922129594315
IERC165.sol,0.0,3117.0299999999997,0.5957348403443425,21000.0,0.0,0.00024362442570480004,1.5780042153704254e-06,0.759,0.005385164807134509
IERC721.sol,0.0,3117.9449999999997,0.4792963592601126,21000.0,0.0,0.0002411837460984,2.2263634549353816e-06,0.751,0.008306623862918083
IERC721Receiver.sol,0.0,3118.39,0.0,21000.0,0.0,0.000232980715758,6.463375235396347e-06,0.726,0.021540659228538032
IERC1155.sol,0.0,3118.304,0.13683566786465415,21000.0,0.0,0.00023930672859030002,1.0844325946148602e-06,0.747,0.004582575694955844
IERC1155MetadataURI.sol,0.0,3118.392,0.11914696806874348,21000.0,0.0,0.00023437223555340003,2.8497277599730634e-06,0.729,0.008306623862918083
IERC1155Receiver.sol,0.0,3118.436,0.22446380554560044,21000.0,0.0,0.00023029461783719997,3.823323299306774e-06,0.7150000000000001,0.010246950765959608
IMetadataService.sol,0.0,3118.82,0.0,21000.0,0.0,0.00022303181696670002,4.493148526048358e-06,0.695,0.01284523257866509
INameWrapper.sol,0.0,3119.4710000000005,0.5372234172109597,21000.0,0.0,0.00021916010044110003,1.8567048506510244e-06,0.6839999999999999,0.009165151389911636
INameWrapperUpgrade.sol,0.0,3119.8149999999996,0.1349999999999909,21000.0,0.0,0.00022660215225060002,5.76754904922367e-06,0.705,0.01688194301613412
IReverseRegistrar.sol,0.0,3119.575,0.30611272433529263,21000.0,0.0,0.00023448613786500005,4.430366806160092e-06,0.731,0.013747727084867533
NameWrapper.sol,40284.0,3119.7200000000003,0.5499090833946174,8077800.0,0.0,0.08503315295834377,0.0023155165013241216,265.27799999999996,7.254041356375071
Ownable.sol,0.0,3120.146,0.6323954459039559,21000.0,0.0,0.0002164411449711,4.571736918980524e-06,0.675,0.014999999999999986
ReverseClaimer.sol,874.0,3119.868,0.5198615200224316,195800.0,0.0,0.0020401933197313803,9.763738902696456e-05,6.363,0.3048950639154394
