Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
CompatibilityFallbackHandler.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Context.sol,0,3120.631053322761,0.5253380891803718,21000.0,0.0,0.0002056004993742,2.4307497462491324e-06,0.6439999999999999,0.008000000000000007
CreateCall.sol,1706,3119.7425310817553,0.09780018109518096,191600.0,0.0,0.0019365819137034002,6.889024224364286e-05,6.042999999999999,0.2170737201966189
DebugTransactionGuard.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
DefaultCallbackHandler.sol,2978,3119.322090825165,0.325516545782918,318800.0,0.0,0.00330728898224496,4.6040059637136876e-05,10.317000000000002,0.14050266901379516
DelegateCallTransactionGuard.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Enum.sol,184,3118.9745214946797,0.049858509980003865,39400.0,0.0,0.00040632700769069997,2.6468376351388093e-06,1.266,0.009165151389911688
ERC20.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
ERC20Token.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
ERC721TokenReceiver.sol,0,3119.415656470027,0.40164515192636585,21000.0,0.0,0.0002114071236816,1.493877951720872e-06,0.6580000000000001,0.006000000000000005
ERC777TokensRecipient.sol,0,3119.722438938083,0.23161291182098123,21000.0,0.0,0.0002106964899312,1.07329440383825e-06,0.656,0.004898979485566361
ERC1155Token.sol,3418,3119.5922124033573,0.21043941945304737,362800.0,0.0,0.00365123065602676,1.0755541717243655e-05,11.39,0.03286335345031008
ERC1155TokenReceiver.sol,0,3119.5728649768103,0.14779492926085344,21000.0,0.0,0.0002070661976187,6.149076673132239e-06,0.648,0.02135415650406264
EtherPaymentFallback.sol,306,3118.76982956344,0.5097185458536847,51600.0,0.0,0.00047561223815436004,1.0625626057812612e-05,1.482,0.03600000000000003
Executor.sol,184,3118.533059726614,0.25979681271201116,39400.0,0.0,0.00038764660497253995,2.0806780979313765e-05,1.208,0.06337191807101941
FallbackManager.sol,872,3117.4200789115225,1.1307146919504867,108200.0,0.0,0.00110907838577228,3.928237877696302e-05,3.461,0.12372954376380768
GnosisSafe.sol,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
