Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
Address.sol,166.0,3122.0690000000004,0.0320780298647659,54200.0,0.0,0.00056853319766808,1.8910824743307055e-05,1.7759999999999998,0.05851495535331123
AuctionTypesV2.sol,92.0,3122.8940000000002,0.9018115102392863,39400.0,0.0,0.00043958757167222005,5.886825129600255e-06,1.3720000000000003,0.018330302779823275
draft-IERC1822.sol,0.0,3123.829,0.45300000000006546,21000.0,0.0,0.0002342823695814,2.5107782408309076e-06,0.734,0.008000000000000007
EIP712.sol,0.0,3122.2690000000002,0.6660397886012265,21000.0,0.0,0.00023069874892680002,4.2439156400296e-06,0.7220000000000001,0.013266499161421611
ERC721.sol,0.0,3121.7340000000004,0.1466424222384535,21000.0,0.0,0.0002277006777444,3.0026027950634914e-06,0.713,0.009000000000000008
ERC721Votes.sol,0.0,3120.4910000000004,1.0391385855601896,21000.0,0.0,0.0002224572999726,3.388687198194446e-06,0.694,0.013564659966250503
ERC1967Proxy.sol,2127.0,3119.7520000000004,0.2106561178794959,446400.0,0.0,0.004360109184705601,0.0002227506076437049,13.600999999999999,0.6961673649346111
ERC1967Upgrade.sol,0.0,3120.2740000000003,0.9771100245110762,21000.0,0.0,0.000207959599785,1.2577076367396094e-05,0.648,0.04069397989875161
GovernorTypesV1.sol,31644.0,3121.978,0.6561066986397189,6349800.0,0.0,0.06517267805283822,0.0022483039784603133,203.467,7.004985438957021
IAuction.sol,0.0,3122.913,0.36337446250395,21000.0,0.0,0.00021592737801809998,3.6210687040619595e-07,0.675,0.0050000000000000044
IBaseMetadata.sol,0.0,3123.188,0.18126224096590168,21000.0,0.0,0.0002061476971974,8.533280358958482e-06,0.641,0.025475478405714017
IEIP712.sol,0.0,3123.325,0.15736899313392888,21000.0,0.0,0.00021227370227699997,2.710505431213761e-20,0.66,0.0
