Contract name,Bytesize,Average ETH Price,STD ETH price,Average Gas Fees,STD Gas fees,Average deployment cost (ETH),STD Deployment cost (ETH),Average deployment cost (USD),STD Deployment cost (USD)
Address.sol,160.0,3107.879,0.41178756659227256,53000.0,0.0,0.00039310606551740004,1.1584140178073758e-05,1.2200000000000002,0.035496478698597726
AddressUpgradeable.sol,160.0,3107.704,0.05388877434129229,53000.0,0.0,0.00038576416817239997,2.7617735867999964e-06,1.196,0.012000000000000009
BeaconProxy.sol,3219.0,3107.5209999999997,0.13924438947406945,664800.0,0.0,0.004875934529919119,3.259337855106161e-05,15.151000000000002,0.10396634070698017
BufferChainlink.sol,160.0,3106.7699999999995,0.7838367176905725,53000.0,0.0,0.0003842950980604,8.020822973819823e-06,1.1940000000000002,0.023748684174075857
CBORChainlink.sol,160.0,3106.0159999999996,0.7008737404126191,53000.0,0.0,0.0003837627401699,6.926605156886371e-06,1.19,0.020493901531919215
Chainlink.sol,160.0,3105.62,0.0,53000.0,0.0,0.000368542243402,6.0394312315624126e-06,1.145,0.02061552812808821
ChainlinkRequestInterface.sol,0.0,3104.874,0.48873714816857,21000.0,0.0,0.0001458530119242,4.147908738272829e-06,0.45200000000000007,0.00979795897113272
Context.sol,0.0,3104.5600000000004,0.02449489742792089,21000.0,0.0,0.0001408764731556,1.0295834538522548e-06,0.438,0.006000000000000005
ContextUpgradeable.sol,0.0,3106.4010000000003,0.9180680802642331,21000.0,0.0,0.0001431030551517,5.145339791604212e-07,0.44299999999999995,0.004582575694955844
ENSInterface.sol,0.0,3107.0550000000003,0.19499999999993634,21000.0,0.0,0.0001414569512643,3.1030739447027184e-06,0.437,0.009000000000000008
ENSResolver.sol,0.0,3107.864,0.9222711098153108,21000.0,0.0,0.00014488137826259998,6.369352549543171e-06,0.45,0.020000000000000018
ERC1967Proxy.sol,2327.0,3109.3720000000003,0.4800999895855118,486400.0,0.0,0.0033505812148684803,9.222809208135753e-05,10.419,0.28793922969960195
ERC1967Upgrade.sol,0.0,3110.468,0.67084722552893,21000.0,0.0,0.00014441661969630002,4.9939042794405e-06,0.45099999999999996,0.013747727084867533
IBeacon.sol,0.0,3111.1400000000003,0.17000000000007276,21000.0,0.0,0.00015263728768049998,2.8907143278912833e-06,0.4749999999999999,0.010246950765959597
import.sol,6503.0,3113.2,2.526408518035086,1321600.0,0.0,0.00902365617998432,0.00034877701695705727,28.093,1.0906241332374784
Initializable.sol,0.0,3117.0340000000006,0.9112101843154046,21000.0,0.0,0.00015142908135810002,5.1400829004048965e-06,0.47400000000000003,0.016248076809271907
LinkTokenInterface.sol,0.0,3117.1890000000003,0.9032657416287421,21000.0,0.0,0.0001545665698185,8.310264751534388e-06,0.483,0.024919871588754226
OperatorInterface.sol,0.0,3117.9790000000003,0.3269999999999762,21000.0,0.0,0.00016166693211479998,3.148862142395428e-06,0.502,0.008717797887081356
OracleInterface.sol,0.0,3118.0379999999996,0.6245766566243072,21000.0,0.0,0.0001587948890304,3.5745876839160965e-07,0.49400000000000005,0.00489897948556636
Ownable.sol,0.0,3117.315,0.16039014932341272,21000.0,0.0,0.00015415075901820002,5.283956899255669e-06,0.481,0.013747727084867533
OwnableUpgradeable.sol,0.0,3116.749,0.8670922672933695,21000.0,0.0,0.0001548066411864,5.136288667122696e-06,0.483,0.018466185312619385
PointerInterface.sol,0.0,3115.924,0.8370328547912121,21000.0,0.0,0.0001491410339118,3.976431493545902e-06,0.462,0.014696938456699053
Proxy.sol,0.0,3115.7799999999997,0.6636264009214242,21000.0,0.0,0.0001497947952312,4.133402372400005e-06,0.466,0.011999999999999988
ProxyAdmin.sol,3988.0,3117.5939999999996,0.1380000000000109,818600.0,0.0,0.005836847693839099,0.0002251776451827791,18.196,0.7011019897276004
StorageSlot.sol,160.0,3117.457,0.22618797492355,53000.0,0.0,0.0003763075302824,4.997902825224366e-06,1.177,0.016155494421403526
Strings.sol,160.0,3117.686,0.1080000000000382,53000.0,0.0,0.0003726486560063,3.555993397341413e-06,1.162,0.008717797887081356
TfiClient.sol,0.0,3117.8979999999997,0.3453925303188147,21000.0,0.0,0.00015514045500870002,6.531575383220086e-06,0.48,0.019999999999999997
TfiExample.sol,13491.0,3118.374,0.19106019993724827,2719200.0,0.0,0.021754908716970004,0.0007222668113991937,67.84,2.2499111093552124
TransparentUpgradeableProxy.sol,6497.0,3118.2830000000004,0.1357239846159511,1320400.0,0.0,0.01039219420600468,0.00023781571448471672,32.406,0.7427004779855739
UpgradeableBeacon.sol,2747.0,3118.477,0.31619772295197796,570400.0,0.0,0.004497891232506319,9.747537534582572e-05,14.027000000000001,0.30374495880590363
