File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
Aragon/contracts/src/core/utils/auth.sol,,,33,27,12,11,4
Aragon/contracts/src/core/plugin/dao-authorizable/DaoAuthorizableUpgradeable.sol,1,,39,39,18,13,12
Aragon/contracts/src/token/ERC20/IERC20MintableUpgradeable.sol,,1,12,11,3,6,3
Aragon/contracts/src/token/ERC20/governance/GovernanceERC20.sol,1,,120,115,68,32,48
Aragon/contracts/src/core/dao/IDAO.sol,,1,138,25,8,67,22
Aragon/contracts/@openzeppelin/contracts-upgradeable/interfaces/IERC5267Upgradeable.sol,,1,28,16,4,9,3
Aragon/contracts/@openzeppelin/contracts-upgradeable/interfaces/IERC6372Upgradeable.sol,,1,17,10,3,9,5
Aragon/contracts/@openzeppelin/contracts-upgradeable/interfaces/IERC5805Upgradeable.sol,,1,9,9,4,2,5
Aragon/contracts/@openzeppelin/contracts-upgradeable/governance/utils/IVotesUpgradeable.sol,,1,56,24,5,37,13
Aragon/contracts/@openzeppelin/contracts-upgradeable/proxy/utils/Initializable.sol,1,,166,166,48,107,18
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/IERC20Upgradeable.sol,,1,78,38,16,58,13
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/ERC20Upgradeable.sol,1,,377,377,120,217,89
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/draft-IERC20PermitUpgradeable.sol,,,8,8,2,3,
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/ERC20PermitUpgradeable.sol,1,,109,101,38,47,36
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/ERC20VotesUpgradeable.sol,1,,303,292,151,100,115
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/IERC20MetadataUpgradeable.sol,,1,28,17,4,16,9
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/AddressUpgradeable.sol,1,,244,198,86,136,41
Aragon/contracts/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/IERC20PermitUpgradeable.sol,,1,60,44,10,42,7
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol,1,,37,37,15,17,6
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/StringsUpgradeable.sol,1,,85,85,51,25,73
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/CountersUpgradeable.sol,1,,43,43,24,14,2
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/cryptography/EIP712Upgradeable.sol,1,,205,191,75,99,56
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/cryptography/ECDSAUpgradeable.sol,1,,217,217,89,114,93
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/math/SignedMathUpgradeable.sol,1,,43,43,18,20,7
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/math/SafeCastUpgradeable.sol,1,,1136,1136,259,812,162
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/math/MathUpgradeable.sol,1,,339,339,199,120,120
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/introspection/IERC165Upgradeable.sol,,1,25,24,3,19,3
Aragon/contracts/@openzeppelin/contracts-upgradeable/utils/introspection/ERC165Upgradeable.sol,1,,42,42,13,24,11
