File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
DAOs/DAOHaus/contracts/SharesERC20.sol,1,,102,95,54,26,59
DAOs/DAOHaus/@openzeppelin/contracts/utils/Context.sol,1,,24,24,9,12,1
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/security/PausableUpgradeable.sol,1,,117,117,40,62,24
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/AddressUpgradeable.sol,1,,219,177,76,120,38
DAOs/DAOHaus/@openzeppelin/contracts/token/ERC20/ERC20.sol,1,,389,365,115,212,83
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/math/MathUpgradeable.sol,1,,345,336,199,117,120
DAOs/DAOHaus/@openzeppelin/contracts/token/ERC20/IERC20.sol,,1,82,38,16,58,13
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/StringsUpgradeable.sol,1,,70,70,44,19,64
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/StorageSlotUpgradeable.sol,1,,88,88,35,44,17
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/CountersUpgradeable.sol,1,,43,43,24,14,2
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/ContextUpgradeable.sol,1,,37,37,15,17,6
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/ArraysUpgradeable.sol,1,,96,96,50,35,41
DAOs/DAOHaus/contracts/utils/DelegationEIP712Upgradeable.sol,1,,121,117,33,72,24
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/proxy/utils/UUPSUpgradeable.sol,1,,108,100,31,64,46
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/proxy/utils/Initializable.sol,1,,165,165,48,106,18
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/proxy/beacon/IBeaconUpgradeable.sol,,1,16,15,3,10,3
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/proxy/ERC1967/ERC1967UpgradeUpgradeable.sol,1,,212,188,84,93,52
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/cryptography/EIP712Upgradeable.sol,1,,121,117,33,72,24
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/utils/cryptography/ECDSAUpgradeable.sol,1,,213,195,76,106,57
DAOs/DAOHaus/contracts/utils/BaalVotes.sol,1,,252,217,146,57,79
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/access/OwnableUpgradeable.sol,1,,95,95,36,46,30
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/interfaces/draft-IERC1822Upgradeable.sol,,1,20,19,3,14,3
DAOs/DAOHaus/contracts/interfaces/IBaal.sol,,1,78,5,3,3,106
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/draft-IERC20PermitUpgradeable.sol,,1,60,44,10,42,7
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/draft-ERC20PermitUpgradeable.sol,1,,109,101,38,47,36
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/IERC20MetadataUpgradeable.sol,,1,28,17,4,16,9
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/extensions/ERC20SnapshotUpgradeable.sol,1,,208,204,82,94,51
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/IERC20Upgradeable.sol,,1,82,38,16,58,13
DAOs/DAOHaus/@openzeppelin/contracts-upgradeable/token/ERC20/ERC20Upgradeable.sol,1,,401,377,120,217,89
DAOs/DAOHaus/@openzeppelin/contracts/token/ERC20/extensions/IERC20Metadata.sol,,1,28,17,4,16,9
