File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
DAOs/DecentDAO/contracts/accessors/SimulateTxAccessor.sol,1,,52,39,24,10,44
DAOs/DecentDAO/@openzeppelin/contracts/math/SafeMath.sol,1,,214,214,61,139,16
DAOs/DecentDAO/@openzeppelin/contracts/utils/Context.sol,1,,24,24,10,12,1
DAOs/DecentDAO/contracts/GnosisSafe.sol,1,,422,360,201,135,189
DAOs/DecentDAO/contracts/GnosisSafeL2.sol,1,,86,70,42,23,15
DAOs/DecentDAO/contracts/external/GnosisSafeMath.sol,1,,54,54,24,22,6
DAOs/DecentDAO/contracts/examples/guards/DebugTransactionGuard.sol,1,,65,52,38,8,17
DAOs/DecentDAO/@openzeppelin/contracts/token/ERC20/ERC20.sol,1,,306,306,89,185,81
DAOs/DecentDAO/contracts/base/Executor.sol,1,,27,21,15,5,36
DAOs/DecentDAO/contracts/common/Enum.sol,1,,8,8,4,3,1
DAOs/DecentDAO/contracts/examples/guards/DelegateCallTransactionGuard.sol,1,,39,26,16,5,11
DAOs/DecentDAO/@openzeppelin/contracts/token/ERC20/IERC20.sol,,1,77,26,17,57,13
DAOs/DecentDAO/contracts/examples/guards/ReentrancyTransactionGuard.sol,1,,51,38,26,6,19
DAOs/DecentDAO/contracts/base/FallbackManager.sol,1,,53,53,33,14,73
DAOs/DecentDAO/contracts/handler/CompatibilityFallbackHandler.sol,1,,144,144,64,66,119
DAOs/DecentDAO/contracts/base/GuardManager.sol,1,1,50,31,21,8,27
DAOs/DecentDAO/contracts/handler/HandlerContext.sol,1,,23,23,11,10,11
DAOs/DecentDAO/contracts/base/ModuleManager.sol,1,,133,123,65,47,100
DAOs/DecentDAO/contracts/common/EtherPaymentFallback.sol,1,,13,13,7,4,7
DAOs/DecentDAO/contracts/handler/DefaultCallbackHandler.sol,1,,61,37,26,4,24
DAOs/DecentDAO/contracts/libraries/CreateCall.sol,1,,30,26,18,5,41
DAOs/DecentDAO/contracts/libraries/GnosisSafeStorage.sol,1,,21,21,12,7,10
DAOs/DecentDAO/contracts/common/SecuredTokenTransfer.sol,1,,35,31,19,11,42
DAOs/DecentDAO/contracts/base/OwnerManager.sol,1,,149,141,80,49,83
DAOs/DecentDAO/contracts/libraries/SignMessageLib.sol,1,,34,34,17,12,21
DAOs/DecentDAO/contracts/interfaces/ERC721TokenReceiver.sol,,1,24,18,3,14,3
DAOs/DecentDAO/contracts/proxies/GnosisSafeProxyFactory.sol,1,,107,90,49,32,111
DAOs/DecentDAO/contracts/libraries/MultiSendCallOnly.sol,1,,61,61,30,30,106
DAOs/DecentDAO/contracts/interfaces/ERC1155TokenReceiver.sol,,1,49,21,3,30,5
DAOs/DecentDAO/contracts/examples/libraries/Migrate130to12_0.sol,1,,31,31,20,5,17
DAOs/DecentDAO/contracts/interfaces/ERC777TokensRecipient.sol,,1,13,5,3,1,3
DAOs/DecentDAO/contracts/proxies/GnosisSafeProxy.sol,1,1,44,38,25,13,60
DAOs/DecentDAO/contracts/proxies/IProxyCreationCallback.sol,,1,12,6,4,1,3
DAOs/DecentDAO/contracts/interfaces/IERC165.sol,,1,15,14,3,10,3
DAOs/DecentDAO/contracts/common/StorageAccessible.sol,1,,47,47,22,22,79
DAOs/DecentDAO/contracts/libraries/MultiSend.sol,1,,66,66,35,28,118
DAOs/DecentDAO/contracts/interfaces/ISignatureValidator.sol,2,,20,19,6,11,7
DAOs/DecentDAO/contracts/common/SelfAuthorized.sol,1,,16,16,10,4,4
DAOs/DecentDAO/contracts/common/Singleton.sol,1,,11,11,4,6,2
DAOs/DecentDAO/contracts/common/SignatureDecoder.sol,1,,36,28,11,16,39
