File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
DAOs/JuiceBox/contracts/JBProjects.sol,1,,188,174,43,109,41
DAOs/JuiceBox/contracts/libraries/JBOperations.sol,1,,23,23,21,2,19
DAOs/JuiceBox/contracts/structs/JBProjectMetadata.sol,,,11,11,5,5,
DAOs/JuiceBox/contracts/structs/JBOperatorData.sol,,,13,13,6,6,
DAOs/JuiceBox/contracts/abstract/JBOperatable.sol,1,,127,118,41,65,14
DAOs/JuiceBox/contracts/interfaces/IJBTokenUriResolver.sol,,1,6,5,3,1,3
DAOs/JuiceBox/contracts/interfaces/IJBProjects.sol,,1,36,20,14,1,15
DAOs/JuiceBox/@openzeppelin/contracts/utils/Address.sol,1,,244,194,86,132,41
DAOs/JuiceBox/contracts/interfaces/IJBOperatorStore.sol,,1,38,15,11,1,11
DAOs/JuiceBox/contracts/interfaces/IJBOperatable.sol,,1,8,7,4,1,3
DAOs/JuiceBox/@openzeppelin/contracts/utils/Checkpoints.sol,1,,554,468,262,152,128
DAOs/JuiceBox/@openzeppelin/contracts/governance/utils/Votes.sol,1,,211,195,91,82,71
DAOs/JuiceBox/@openzeppelin/contracts/governance/utils/IVotes.sol,,1,61,24,5,35,13
DAOs/JuiceBox/@openzeppelin/contracts/access/Ownable.sol,1,,83,83,31,41,24
DAOs/JuiceBox/@openzeppelin/contracts/utils/cryptography/EIP712.sol,1,,104,100,36,55,22
DAOs/JuiceBox/@openzeppelin/contracts/utils/introspection/IERC165.sol,,1,25,24,3,19,3
DAOs/JuiceBox/@openzeppelin/contracts/utils/cryptography/ECDSA.sol,1,,213,195,76,106,57
DAOs/JuiceBox/@openzeppelin/contracts/utils/introspection/ERC165.sol,1,,29,29,7,19,6
DAOs/JuiceBox/@openzeppelin/contracts/utils/Strings.sol,1,,70,70,44,19,64
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/IERC721Receiver.sol,,1,27,21,3,16,3
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/IERC721.sol,,1,145,64,41,102,21
DAOs/JuiceBox/@openzeppelin/contracts/utils/Counters.sol,1,,43,43,24,14,2
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/ERC721.sol,1,,506,461,177,221,142
DAOs/JuiceBox/@openzeppelin/contracts/utils/Context.sol,1,,24,24,9,12,1
DAOs/JuiceBox/@openzeppelin/contracts/utils/math/SafeCast.sol,1,,1136,1136,259,812,162
DAOs/JuiceBox/@openzeppelin/contracts/utils/math/Math.sol,1,,345,336,199,117,120
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/extensions/draft-ERC721Votes.sol,,,9,9,2,4,
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/extensions/IERC721Metadata.sol,,1,27,16,4,15,9
DAOs/JuiceBox/@openzeppelin/contracts/token/ERC721/extensions/ERC721Votes.sol,1,,41,36,12,20,8
