File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
DAOs/PartyApp/contracts/tokens/ERC721Receiver.sol,1,,28,23,14,6,13
DAOs/PartyApp/contracts/tokens/IERC1155.sol,,1,48,22,18,2,13
DAOs/PartyApp/contracts/tokens/IERC721Receiver.sol,,1,11,5,3,1,3
DAOs/PartyApp/contracts/distribution/ITokenDistributor.sol,,1,153,61,35,65,24
DAOs/PartyApp/contracts/crowdfund/CrowdfundFactory.sol,1,,280,229,159,55,107
DAOs/PartyApp/contracts/tokens/IERC20.sol,,1,18,9,5,2,11
DAOs/PartyApp/contracts/tokens/IERC721.sol,,1,36,10,6,2,23
DAOs/PartyApp/contracts/renderers/RendererStorage.sol,1,,93,90,50,23,33
DAOs/PartyApp/contracts/renderers/IMetadataProvider.sol,,1,18,8,3,8,5
DAOs/PartyApp/contracts/crowdfund/AuctionCrowdfund.sol,1,,73,70,36,26,26
DAOs/PartyApp/contracts/renderers/MetadataRegistry.sol,1,,95,95,45,33,34
DAOs/PartyApp/contracts/proposals/LibProposal.sol,1,,35,27,22,1,15
DAOs/PartyApp/contracts/proposals/IProposalExecutionEngine.sol,,1,39,18,13,16,10
DAOs/PartyApp/contracts/proposals/ProposalStorage.sol,1,,71,67,48,10,18
DAOs/PartyApp/contracts/crowdfund/BuyCrowdfund.sol,1,,179,172,102,58,36
DAOs/PartyApp/contracts/market-wrapper/IMarketWrapper.sol,,1,86,35,3,67,13
DAOs/PartyApp/contracts/crowdfund/RollingAuctionCrowdfund.sol,1,,196,186,81,81,48
DAOs/PartyApp/contracts/crowdfund/CollectionBatchBuyCrowdfund.sol,1,,254,252,165,59,91
DAOs/PartyApp/contracts/crowdfund/InitialETHCrowdfund.sol,1,,459,425,281,106,181
DAOs/PartyApp/contracts/crowdfund/CollectionBuyCrowdfund.sol,1,,163,155,91,51,29
DAOs/PartyApp/contracts/renderers/MetadataProvider.sol,1,,58,55,31,12,19
DAOs/PartyApp/contracts/vendor/solmate/ERC1155.sol,2,,251,209,134,38,92
DAOs/PartyApp/contracts/crowdfund/AuctionCrowdfundBase.sol,1,,349,330,190,109,95
DAOs/PartyApp/contracts/globals/LibGlobals.sol,1,,46,46,27,17,25
DAOs/PartyApp/contracts/crowdfund/ERC20LaunchCrowdfund.sol,1,,160,154,102,29,56
DAOs/PartyApp/contracts/vendor/solmate/ERC721.sol,2,,243,223,139,38,86
DAOs/PartyApp/contracts/globals/IGlobals.sol,,1,40,9,4,3,33
DAOs/PartyApp/contracts/crowdfund/BuyCrowdfundBase.sol,1,,241,217,150,53,73
DAOs/PartyApp/contracts/crowdfund/CrowdfundNFT.sol,1,,158,149,94,33,78
DAOs/PartyApp/contracts/party/Party.sol,1,,53,53,36,9,14
DAOs/PartyApp/contracts/party/PartyGovernance.sol,1,,1162,1092,707,311,402
DAOs/PartyApp/contracts/party/PartyGovernanceNFT.sol,1,,530,501,302,125,233
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/utils/Context.sol,1,,24,24,9,12,1
DAOs/PartyApp/contracts/gatekeepers/IGateKeeper.sol,,1,16,11,3,7,3
DAOs/PartyApp/contracts/party/IPartyFactory.sol,,1,62,30,13,27,5
DAOs/PartyApp/contracts/crowdfund/Crowdfund.sol,1,,795,719,472,200,315
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/proxy/Clones.sol,1,,97,90,39,45,111
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/utils/introspection/IERC165.sol,,1,25,24,3,19,3
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/utils/cryptography/MerkleProof.sol,1,,240,222,102,102,84
DAOs/PartyApp/contracts/crowdfund/ETHCrowdfundBase.sol,1,,438,420,271,101,133
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/interfaces/IERC2981.sol,,1,25,21,4,14,5
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/token/ERC20/IERC20.sol,,1,78,38,16,58,13
DAOs/PartyApp/lib/solmate/src/utils/FixedPointMathLib.sol,1,,255,243,131,81,445
DAOs/PartyApp/lib/solmate/src/utils/SSTORE2.sol,1,,101,93,36,42,60
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/token/ERC20/ERC20.sol,1,,366,366,137,200,96
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/interfaces/draft-IERC6093.sol,,3,162,162,28,113,3
DAOs/PartyApp/contracts/utils/LibRawResult.sol,1,,18,18,13,3,25
DAOs/PartyApp/contracts/utils/LibSafeCast.sol,1,,72,72,61,1,49
DAOs/PartyApp/contracts/utils/LibAddress.sol,1,,16,16,11,2,5
DAOs/PartyApp/contracts/utils/IERC20Creator.sol,,1,22,14,10,1,6
DAOs/PartyApp/contracts/utils/Multicall.sol,1,,18,18,13,2,12
DAOs/PartyApp/contracts/utils/LibSafeERC721.sol,1,,27,27,15,7,7
DAOs/PartyApp/contracts/utils/ReadOnlyDelegateCall.sol,1,1,37,33,22,8,19
DAOs/PartyApp/contracts/utils/Implementation.sol,1,,43,43,26,7,12
DAOs/PartyApp/lib/openzeppelin-contracts/contracts/token/ERC20/extensions/IERC20Metadata.sol,,1,28,17,4,16,9
DAOs/PartyApp/contracts/utils/LibERC20Compat.sol,1,,79,79,70,4,49
DAOs/PartyApp/contracts/utils/EIP165.sol,1,,12,12,6,5,3
DAOs/PartyApp/contracts/utils/IERC4906.sol,,1,8,8,5,1,1
