File,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score
DAOs/Snapshot/contracts/utils/ERC20Recoverable.sol,1,,26,22,8,11,8
DAOs/Snapshot/contracts/wrapper/INameWrapper.sol,,1,166,40,31,3,69
DAOs/Snapshot/contracts/wrapper/NameWrapper.sol,1,,1180,977,599,230,458
DAOs/Snapshot/contracts/wrapper/INameWrapperUpgrade.sol,,1,13,5,3,1,3
DAOs/Snapshot/contracts/wrapper/IMetadataService.sol,,1,6,5,3,1,3
DAOs/Snapshot/contracts/wrapper/ERC1155Fuse.sol,1,,410,338,227,62,145
DAOs/Snapshot/contracts/wrapper/Controllable.sol,1,,23,23,17,1,9
DAOs/Snapshot/contracts/wrapper/BytesUtils.sol,1,,62,52,28,21,30
DAOs/Snapshot/contracts/registry/ENS.sol,,1,64,23,12,5,25
DAOs/Snapshot/@openzeppelin/contracts/access/Ownable.sol,1,,83,83,31,41,24
DAOs/Snapshot/@openzeppelin/contracts/utils/Context.sol,1,,24,24,9,12,1
DAOs/Snapshot/@openzeppelin/contracts/token/ERC721/IERC721Receiver.sol,,1,27,21,3,16,3
DAOs/Snapshot/@openzeppelin/contracts/token/ERC721/IERC721.sol,,1,145,64,41,102,21
DAOs/Snapshot/@openzeppelin/contracts/token/ERC20/IERC20.sol,,1,82,38,16,58,13
DAOs/Snapshot/@openzeppelin/contracts/utils/Address.sol,1,,244,194,86,132,41
DAOs/Snapshot/contracts/ethregistrar/IBaseRegistrar.sol,,1,50,21,18,11,19
DAOs/Snapshot/contracts/reverseRegistrar/IReverseRegistrar.sol,,1,29,4,3,,15
DAOs/Snapshot/@openzeppelin/contracts/token/ERC1155/IERC1155.sol,,1,125,88,48,78,15
DAOs/Snapshot/@openzeppelin/contracts/utils/introspection/IERC165.sol,,1,25,24,3,19,3
DAOs/Snapshot/@openzeppelin/contracts/utils/introspection/ERC165.sol,1,,29,29,7,19,6
DAOs/Snapshot/contracts/reverseRegistrar/ReverseClaimer.sol,1,,17,17,13,1,5
DAOs/Snapshot/@openzeppelin/contracts/token/ERC1155/IERC1155Receiver.sol,,1,58,27,4,36,7
DAOs/Snapshot/@openzeppelin/contracts/token/ERC1155/extensions/IERC1155MetadataURI.sol,,1,22,21,4,14,5
